2023-07-07 13:27:09.810 [info] Log level: Info
2023-07-07 13:27:09.810 [info] Validating found git in: "git"
2023-07-07 13:27:09.810 [info] Using git "2.41.0" from "git"
2023-07-07 13:27:09.810 [info] > git rev-parse --show-toplevel [3ms]
2023-07-07 13:27:09.810 [info] > git rev-parse --show-toplevel [60ms]
2023-07-07 13:27:09.810 [info] > git rev-parse --show-toplevel [359ms]
2023-07-07 13:27:09.811 [info] > git rev-parse --show-toplevel [3ms]
2023-07-07 13:27:09.831 [info] > git rev-parse --show-toplevel [16ms]
2023-07-07 13:27:19.904 [info] > git rev-parse --show-toplevel [1ms]
2023-07-07 13:29:17.083 [info] > git rev-parse --show-toplevel [1ms]
2023-07-07 14:08:31.528 [info] > git rev-parse --show-toplevel [1ms]
2023-07-07 14:08:32.443 [info] > git rev-parse --show-toplevel [0ms]
2023-07-07 14:08:32.498 [info] > git rev-parse --show-toplevel [2ms]
2023-07-07 14:08:51.559 [info] > git rev-parse --show-toplevel [1ms]
2023-07-07 14:08:51.979 [info] > git rev-parse --show-toplevel [0ms]
